"YEAR","NEW_STA","Hbt","Hbt_var","Cbt","Cbt_var"
1987,"RI",0.201930606190525,0.00000426163490715182,0.798069393809475,0.000110974106872085
1987,"MA",0.37714664470992,0.000014900068481317,0.62285335529008,0.00010120906885401
1987,"NH",0.868986036055194,0.000187788848632525,0.131013963944806,0.000136203513928145
1987,"ME",0.847771831864358,0.000104373100042076,0.152228168135642,0.0000157772875314339
1988,"VA",0.229769422950984,0.000120662342472379,0.770230577049016,0.000779851251036479
1988,"MD",0.314145887610963,0.0000281611806277604,0.685854112389037,0.000325221977052862
1988,"DE",0.459604759598181,0.0000182928984309653,0.540395240401819,0.0000786346944210812
1988,"NJ",0.552337201702017,0.0000403423654982188,0.447662798297983,0.00011395509077102
1988,"NY",0.537580681143213,0.000031940793169865,0.462419318856787,0.000104943465789085
1988,"CT",0.776333176671407,0.000730137191359864,0.223666823328593,0.00122618650993788
